jarak (m),rssi (dBm)
264.67241379310343,-84
264.08620689655174,-89
263.7931034482758,-87
263.2068965517242,-85
254.70689655172416,-88
254.12068965517244,-87
253.8275862068965,-86
253.24137931034483,-87
252.94827586206895,-86
252.36206896551727,-89
251.77586206896552,-87
251.48275862068965,-87
250.89655172413796,-87
250.6034482758621,-87
249.1379310344828,-86
247.9655172413793,-88
247.08620689655174,-87
246.79310344827587,-90
245.62068965517244,-88
245.32758620689657,-85
244.15517241379308,-87
243.8620689655172,-87
243.27586206896552,-86
242.98275862068965,-87
241.81034482758622,-87
241.51724137931035,-88
240.9310344827586,-89
240.63793103448273,-86
239.4655172413793,-88
239.1724137931035,-87
238.5862068965517,-87
238.0,-86
237.12068965517238,-87
235.65517241379314,-86
235.36206896551727,-86
234.77586206896552,-86
234.48275862068965,-86
233.89655172413796,-86
233.31034482758616,-87
233.01724137931035,-87
232.4310344827586,-87
231.551724137931,-85
230.9655172413793,-87
230.67241379310343,-88
230.08620689655174,-87
229.5,-88
229.20689655172413,-88
228.0344827586207,-90
227.74137931034483,-90
227.15517241379308,-88
226.27586206896552,-87
225.68965517241378,-90
225.3965517241379,-90
224.81034482758622,-90
224.51724137931035,-93
223.9310344827586,-90
222.4655172413793,-92
221.87931034482756,-94
221.0,-93
220.70689655172413,-94
220.12068965517238,-91
219.5344827586207,-89
219.24137931034483,-94
218.65517241379314,-90
218.06896551724134,-88
217.77586206896552,-90
217.18965517241378,-89
216.89655172413796,-91
216.31034482758616,-88
215.72413793103448,-87
215.4310344827586,-86
214.84482758620692,-91
213.9655172413793,-88
213.37931034482762,-87
213.08620689655174,-89
212.5,-87
211.62068965517244,-88
211.0344827586207,-86
210.74137931034483,-87
210.15517241379308,-89
209.27586206896552,-94
208.68965517241378,-88
208.3965517241379,-90
207.81034482758622,-87
207.22413793103453,-86
206.9310344827586,-87
206.34482758620692,-86
205.75862068965517,-88
205.46551724137936,-88
204.58620689655174,-90
204.0,-89
203.12068965517238,-87
201.94827586206895,-87
201.65517241379314,-86
201.06896551724134,-86
200.18965517241378,-86
199.31034482758616,-85
198.72413793103448,-89
198.4310344827586,-86
197.84482758620692,-86
196.9655172413793,-86
196.37931034482762,-86
195.79310344827582,-86
195.5,-85
194.62068965517244,-85
194.03448275862064,-84
193.44827586206895,-85
193.15517241379308,-85
192.27586206896552,-85
191.68965517241378,-85
191.1034482758621,-88
190.81034482758622,-85
189.63793103448273,-85
189.34482758620692,-85
188.75862068965517,-86
188.46551724137936,-83
187.29310344827587,-84
185.82758620689657,-83
185.5344827586207,-83
184.65517241379308,-84
183.48275862068965,-85
183.18965517241384,-85
182.60344827586204,-85
182.31034482758622,-85
181.1379310344828,-85
179.67241379310343,-84
179.37931034482762,-85
178.79310344827582,-84
178.5,-87
177.32758620689657,-85
177.03448275862064,-82
176.44827586206895,-82
176.15517241379308,-82
174.98275862068965,-85
174.68965517241378,-85
173.51724137931035,-85
173.22413793103448,-85
172.63793103448273,-83
172.34482758620692,-83
171.75862068965517,-83
171.17241379310343,-82
170.87931034482756,-81
170.29310344827587,-84
144.20689655172413,-82
143.62068965517244,-79
143.3275862068965,-85
142.74137931034483,-81
142.44827586206895,-80
141.86206896551727,-81
141.27586206896552,-79
140.98275862068965,-79
140.39655172413796,-79
140.1034482758621,-82
139.51724137931035,-82
138.9310344827586,-82
138.6379310344828,-79
138.05172413793105,-84
137.4655172413793,-82
137.17241379310343,-80
136.58620689655174,-83
136.29310344827587,-80
135.12068965517238,-82
134.82758620689657,-80
134.24137931034483,-81
133.65517241379308,-82
132.77586206896552,-81
132.48275862068965,-83
131.8965517241379,-81
131.31034482758622,-81
131.01724137931035,-84
130.13793103448273,-84
128.9655172413793,-83
128.6724137931035,-82
128.0862068965517,-81
127.5,-82
127.20689655172413,-82
126.62068965517244,-82
125.74137931034483,-78
125.15517241379314,-84
124.86206896551727,-80
123.98275862068965,-78
123.39655172413796,-79
122.81034482758616,-81
122.51724137931035,-79
121.05172413793105,-88
120.4655172413793,-85
120.17241379310343,-83
119.58620689655174,-81
119.0,-80
118.70689655172413,-82
118.12068965517244,-81
117.5344827586207,-82
117.24137931034488,-80
116.65517241379308,-82
116.36206896551721,-81
115.77586206896552,-81
114.89655172413791,-81
114.31034482758622,-80
114.01724137931035,-80
113.4310344827586,-79
112.84482758620686,-79
112.55172413793105,-80
111.9655172413793,-78
111.37931034482756,-81
111.08620689655169,-79
110.5,-82
109.62068965517238,-82
109.0344827586207,-78
108.74137931034483,-82
108.15517241379314,-78
107.56896551724134,-80
107.27586206896552,-78
106.68965517241378,-77
106.39655172413796,-78
105.81034482758616,-79
105.22413793103448,-79
104.34482758620692,-80
104.05172413793099,-79
103.4655172413793,-82
102.87931034482762,-80
102.58620689655174,-80
102.0,-80
101.41379310344826,-79
100.24137931034483,-79
99.65517241379308,-80
99.0689655172414,-85
98.77586206896552,-84
98.18965517241378,-84
97.89655172413791,-80
96.72413793103453,-76
96.4310344827586,-80
95.84482758620692,-82
95.25862068965517,-79
94.9655172413793,-77
94.37931034482756,-74
94.08620689655169,-79
93.5,-79
92.91379310344831,-79
92.62068965517238,-77
92.0344827586207,-79
91.44827586206895,-83
91.15517241379314,-78
90.56896551724134,-80
90.27586206896552,-82
89.68965517241378,-78
89.10344827586209,-79
88.22413793103448,-78
87.9310344827586,-79
87.34482758620692,-79
86.75862068965517,-80
86.4655172413793,-79
85.87931034482762,-78
85.29310344827582,-79
85.0,-79
84.41379310344826,-80
83.5344827586207,-77
82.94827586206895,-79
82.65517241379308,-79
82.0689655172414,-79
81.18965517241378,-76
80.60344827586209,-77
80.31034482758622,-79
79.72413793103453,-86
78.84482758620692,-82
78.25862068965517,-84
77.37931034482756,-85
76.5,-81
75.32758620689657,-86
74.44827586206895,-84
74.15517241379314,-88
72.98275862068965,-82
72.68965517241378,-87
72.10344827586204,-90
71.81034482758616,-85
71.22413793103448,-83
70.34482758620692,-83
69.17241379310343,-90
68.87931034482762,-91
68.29310344827582,-88
67.41379310344826,-87
66.82758620689657,-83
65.94827586206895,-83
65.0689655172414,-83
64.18965517241378,-82
63.60344827586209,-90
62.72413793103448,-85
61.84482758620692,-83
61.258620689655174,-86
60.67241379310343,-82
60.37931034482756,-83
36.63793103448279,-69
36.051724137931046,-69
35.758620689655174,-69
35.17241379310349,-69
34.58620689655169,-74
34.29310344827587,-70
33.70689655172413,-76
33.12068965517244,-73
32.241379310344826,-73
31.948275862068954,-85
31.362068965517267,-74
30.48275862068965,-85
29.603448275862092,-73
29.017241379310292,-77
28.137931034482733,-80
26.965517241379303,-77
26.67241379310343,-73
25.793103448275872,-70
24.620689655172384,-76
23.741379310344826,-66
23.155172413793082,-68
22.86206896551721,-67
22.275862068965523,-69
21.98275862068965,-73
21.396551724137908,-76
20.81034482758622,-75
20.51724137931035,-68
19.931034482758662,-68
19.637931034482733,-67
19.051724137931046,-68
18.465517241379303,-67
18.172413793103487,-66
17.0,-64
16.706896551724128,-61
16.12068965517244,-67
15.827586206896513,-65
15.241379310344826,-73
14.655172413793139,-65
14.362068965517267,-66
13.775862068965523,-63
13.18965517241378,-61
12.896551724137964,-61
12.31034482758622,-63
12.017241379310349,-65
11.431034482758605,-67
9.965517241379303,-62
9.086206896551744,-58
8.206896551724128,-59
7.620689655172384,-62
6.741379310344826,-57
6.155172413793082,-56
5.86206896551721,-56
4.689655172413836,-57
4.3965517241379075,-56
3.5172413793103487,-55
2.931034482758662,-56
2.0517241379310462,-61
1.4655172413793025,-55
0.8793103448275588,-58
0.0,-56
