jarak_meter,rata_rssi,jumlah_data,jumlah_invalid_data,persentase_invalid_data,kategori
355,-96.0,2,1,50.0,Main Route
357,-94.0,1,1,100.0,Main Route
361,-95.0,1,1,100.0,Main Route
363,-97.0,1,1,100.0,Main Route
368,-95.0,1,1,100.0,Main Route
374,-96.0,1,0,0.0,Main Route
378,-93.0,2,0,0.0,Main Route
379,-92.0,1,0,0.0,Main Route
380,-92.33,3,0,0.0,Main Route
381,-98.0,1,1,100.0,Main Route
382,-92.5,2,0,0.0,Main Route
383,-93.0,2,1,50.0,Main Route
384,-92.0,1,0,0.0,Main Route
385,-92.5,2,0,0.0,Main Route
386,-93.0,1,0,0.0,Main Route
387,-94.5,4,1,25.0,Main Route
388,-93.67,3,0,0.0,Main Route
389,-93.0,1,0,0.0,Main Route
390,-92.0,2,0,0.0,Main Route
391,-91.0,1,0,0.0,Main Route
392,-92.0,2,0,0.0,Main Route
393,-94.5,2,0,0.0,Main Route
394,-97.5,2,0,0.0,Main Route
395,-93.0,2,0,0.0,Main Route
396,-93.0,1,0,0.0,Main Route
397,-96.0,2,1,50.0,Main Route
398,-92.0,1,0,0.0,Main Route
399,-91.0,1,0,0.0,Main Route
400,-97.0,1,1,100.0,Main Route
401,-93.0,2,0,0.0,Main Route
402,-93.0,1,0,0.0,Main Route
403,-93.0,1,0,0.0,Main Route
404,-93.0,2,0,0.0,Main Route
405,-92.0,1,0,0.0,Main Route
406,-93.0,2,2,100.0,Main Route
407,-93.0,1,1,100.0,Main Route
413,-92.0,1,0,0.0,Main Route
415,-92.0,1,0,0.0,Main Route
416,-91.5,2,0,0.0,Main Route
417,-91.5,2,1,50.0,Main Route
418,-90.0,1,0,0.0,Main Route
419,-94.0,2,0,0.0,Main Route
421,-93.0,1,0,0.0,Main Route
422,-94.5,2,0,0.0,Main Route
423,-96.0,1,1,100.0,Main Route
424,-97.5,2,2,100.0,Main Route
426,-92.0,1,1,100.0,Main Route
431,-97.0,1,1,100.0,Main Route
432,-96.0,1,1,100.0,Main Route
433,-96.0,1,1,100.0,Main Route
434,-94.0,2,0,0.0,Main Route
436,-93.0,1,0,0.0,Main Route
437,-93.0,1,0,0.0,Main Route
439,-97.0,1,1,100.0,Main Route
443,-94.0,1,1,100.0,Main Route
446,-92.5,2,0,0.0,Main Route
447,-94.5,2,1,50.0,Main Route
453,-99.5,2,0,0.0,Main Route
454,-97.5,2,0,0.0,Main Route
455,-99.0,1,0,0.0,Main Route
456,-99.0,2,1,50.0,Main Route
460,-102.0,1,1,100.0,Main Route
463,-101.0,1,1,100.0,Main Route
465,-98.0,1,1,100.0,Main Route
466,-99.0,1,0,0.0,Main Route
467,-96.5,2,2,100.0,Main Route
468,-97.0,1,0,0.0,Main Route
490,-99.0,2,1,50.0,Main Route
491,-102.0,1,1,100.0,Main Route
498,-100.0,1,1,100.0,Main Route
499,-100.0,1,1,100.0,Main Route
500,-96.0,1,1,100.0,Main Route
505,-95.0,1,1,100.0,Random Walk
506,-95.6,5,2,40.0,Random Walk
507,-95.0,1,1,100.0,Random Walk
509,-97.0,2,2,100.0,Random Walk
510,-96.0,4,4,100.0,Random Walk
